Urine37,Frag/,m/z,EF,Struct. ID /
236,"Frag,","125.0150,","C7H6Cl,",Mass2Motif related to Clopidogrel ? mainly COOH metabolites with intact thiophene ring (which is responsible for the C6H6S loss)
,"Frag,","152.0257,","C8H7NCl,",
,"Frag,","141.0104,","C7H6OCl,",
,"Frag,","140.0262,","C7H7NCl,",
,"Frag,","113.0157,","C6H6Cl,",
,"Frag,","53.0389,","C4H5,",
,"Frag,","169.0049,","C8H6O2Cl,",
,"Frag,","198.0316,","C9H9NO2Cl,",
,Loss,110.0191,C6H6S,
193,"Frag,","110.0597,","C6H8NO,",Mass2Motif related to Paracetamol ? many ion products associated to this topic (abundant species ? two real paracetamol metabolites)
,"Frag,","65.0387,","C5H5,",
,Frag,92.0494,C6H6N,
139,"Frag,","140.0166,","C6H6NOS,",Mass2Motif related to paracetamol-mercapturates
,"Frag,","208.0436,","C10H10NO2S,",
,"Frag,","96.0441,","C5H6NO,",
,"Frag,","166.0315,","C8H8NOS,",
,"Frag,","112.0217,","C5H6NS,",
,"Frag,","149.0063,","C8H5SO,",
,Frag,121.0104,C7H5S,
155,"Loss,","75.0684,","C3H9NO,",Mass2Motif related to Trimethylamine oxide substructure ? trimethylamine oxide can be present in urine (e.g. carnitine derived)
,"Frag,","76.0756,","C3H10NO,",
,Frag,59.0733,C3H9N,
297,"Frag,","100.0762,","C5H10NO,","Mass2Motif related to acetylamine substructure ? e.g., as in N1-acetylspermidine; the C5H10NO is a ring fragment including the N-acetyl group"
,Frag,72.0446,C3H6NO,
